"name","num","avg","best","tbest"
"heskia",1,94,94,0.6
"heskia",2,95,95,5.6
"heskia",3,102,102,17.1
"heskia",4,103,103,0
"heskia",5,92,92,30.3
"heskia",6,98,98,0.2
"heskia",7,116,116,3.8
"heskia",8,86,86,6.5
"heskia",9,95,95,17.6
"heskia",10,142,142,0
"heskia",11,169,169,8.1
"heskia",12,107,107,0
"heskia",13,108,108,0
"heskia",14,96,96,5.7
"heskia",15,130,130,1.9
"heskia",16,117,117,6.7
"heskia",17,146,146,0.5
"heskia",18,132,132,0
"heskia",19,101,101,1.1
"heskia",20,120,120,5.7
"heskia",21,200,200,0.2
"heskia",22,147,147,0.1
"heskia",23,186,186,0.2
"heskia",24,181,181,52
"heskia",25,142,142,0.1
"heskia",26,194,194,0
"heskia",27,149,149,1.8
"heskia",28,191,191,1.9
"heskia",29,170,170,0
"heskia",30,165,165,0
"heskia",31,204,204,4.4
"heskia",32,147,147,0.3
"heskia",33,211,211,3.1
"heskia",34,127,127,2.4
"heskia",35,181,181,3.5
"heskia",36,179,179,0.1
"heskia",37,191,191,12.8
"heskia",38,152,152,0.1
"heskia",39,167,167,0.3
"heskia",40,153.7,153,25.3
"heskia",41,35,35,0.4
"heskia",42,40,40,0.2
"heskia",43,35,35,6.8
"heskia",44,30,30,0.7
"heskia",45,40,40,0.5
"heskia",46,29,29,1.3
"heskia",47,25,25,0.1
"heskia",48,43,43,0.1
"heskia",49,38,38,0.4
"heskia",50,34,34,0.6
"heskia",51,51,51,0
"heskia",52,50,50,0.2
"heskia",53,52,52,0
"heskia",54,33,33,1.2
"heskia",55,38,38,9
"heskia",56,34,34,0
"heskia",57,42,42,14.9
"heskia",58,39,39,0.1
"heskia",59,59,59,0
"heskia",60,28,28,0
"heskia",61,66,66,0
"heskia",62,56,56,0.4
"heskia",63,69,69,0.1
"heskia",64,126,126,0
"heskia",65,107,107,0
"heskia",66,39,39,0.1
"heskia",67,87,87,0
"heskia",68,62,62,15.9
"heskia",69,61,61,0.1
"heskia",70,79,79,0.1
"heskia",71,91,91,0
"heskia",72,65,65,21.4
"heskia",73,73,73,0.7
"heskia",74,57,57,0
"heskia",75,65,65,0.7
"heskia",76,70,70,0.2
"heskia",77,71,71,1.6
"heskia",78,58,58,0.4
"heskia",79,46,46,0.2
"heskia",80,76,76,0.1
"roszieg",1,20,20,0
"roszieg",2,22,22,0
"roszieg",3,18,18,0.1
"roszieg",4,18,18,0
"roszieg",5,17,17,0
"roszieg",6,24,24,0
"roszieg",7,21,21,0
"roszieg",8,20,20,0
"roszieg",9,22,22,0
"roszieg",10,19,19,0
"roszieg",11,30,30,0
"roszieg",12,27,27,0
"roszieg",13,76,76,0
"roszieg",14,25,25,0
"roszieg",15,26,26,0
"roszieg",16,22,22,0
"roszieg",17,22,22,0
"roszieg",18,20,20,0
"roszieg",19,27,27,0
"roszieg",20,40,40,0.8
"roszieg",21,28,28,0
"roszieg",22,30,30,0
"roszieg",23,26,26,0
"roszieg",24,33,33,0
"roszieg",25,28,28,0
"roszieg",26,27,27,0
"roszieg",27,21,21,0
"roszieg",28,28,28,1.2
"roszieg",29,27,27,0.1
"roszieg",30,33,33,0
"roszieg",31,31,31,0
"roszieg",32,29,29,0
"roszieg",33,32,32,0
"roszieg",34,27,27,0
"roszieg",35,27,27,0
"roszieg",36,29,29,0
"roszieg",37,27,27,0
"roszieg",38,28,28,0
"roszieg",39,21,21,0
"roszieg",40,29,29,0
"roszieg",41,10,10,0
"roszieg",42,10,10,0
"roszieg",43,10,10,0
"roszieg",44,9,9,0
"roszieg",45,12,12,0
"roszieg",46,9,9,0
"roszieg",47,10,10,0
"roszieg",48,8,8,0
"roszieg",49,10,10,0
"roszieg",50,9,9,0.1
"roszieg",51,11,11,0
"roszieg",52,10,10,0
"roszieg",53,10,10,0
"roszieg",54,10,10,0
"roszieg",55,11,11,0
"roszieg",56,13,13,0
"roszieg",57,13,13,0
"roszieg",58,11,11,0
"roszieg",59,12,12,0
"roszieg",60,9,9,0
"roszieg",61,16,16,0
"roszieg",62,13,13,0
"roszieg",63,19,19,0
"roszieg",64,16,16,0
"roszieg",65,14,14,0
"roszieg",66,17,17,0
"roszieg",67,17,17,0
"roszieg",68,16,16,0
"roszieg",69,15,15,0
"roszieg",70,17,17,0
"roszieg",71,15,15,0
"roszieg",72,16,16,0
"roszieg",73,16,16,0.1
"roszieg",74,16,16,0
"roszieg",75,16,16,0
"roszieg",76,17,17,0
"roszieg",77,13,13,0
"roszieg",78,14,14,0
"roszieg",79,14,14,0
"roszieg",80,14,14,0
"wee-mag",1,29.3,28,104.6
"wee-mag",2,29.1,28,93.6
"wee-mag",3,27.2,27,128.2
"wee-mag",4,33.7,33,121.5
"wee-mag",5,32.5,32,121.6
"wee-mag",6,27.4,26,95.2
"wee-mag",7,28.4,27,88.3
"wee-mag",8,32.6,31,90.5
"wee-mag",9,28,27,77.7
"wee-mag",10,29.2,28,127.9
"wee-mag",11,33.3,32,99.2
"wee-mag",12,34.4,33,123.7
"wee-mag",13,34.3,32,64.6
"wee-mag",14,34.4,33,105.1
"wee-mag",15,34.8,34,60.1
"wee-mag",16,33,32,85.8
"wee-mag",17,34,34,35.5
"wee-mag",18,39,37,88.7
"wee-mag",19,33.2,33,87.3
"wee-mag",20,38.8,36,99.4
"wee-mag",21,51.6,50,148.2
"wee-mag",22,49.4,48,181.5
"wee-mag",23,49.7,48,189.3
"wee-mag",24,54.7,52,148.9
"wee-mag",25,49.8,49,101
"wee-mag",26,49,47,201.7
"wee-mag",27,57,56,155
"wee-mag",28,53.4,51,148.6
"wee-mag",29,46.1,45,159.8
"wee-mag",30,55.6,55,169.4
"wee-mag",31,52.5,51,159.7
"wee-mag",32,53.4,49,172.8
"wee-mag",33,54.5,52,220.6
"wee-mag",34,59.9,58,146.2
"wee-mag",35,49.1,47,142.6
"wee-mag",36,50.3,49,118.1
"wee-mag",37,42.6,42,118.9
"wee-mag",38,48,47,85.1
"wee-mag",39,51.8,50,104.1
"wee-mag",40,42.4,41,165.3
"wee-mag",41,10.3,10,80.8
"wee-mag",42,10.8,10,45.1
"wee-mag",43,10.1,10,70
"wee-mag",44,12.3,12,60.5
"wee-mag",45,11,11,40.5
"wee-mag",46,10,10,45.9
"wee-mag",47,11.3,11,111.8
"wee-mag",48,10.9,10,26.2
"wee-mag",49,9.6,9,52.3
"wee-mag",50,10.6,10,37.5
"wee-mag",51,12.7,12,51.1
"wee-mag",52,10.6,10,63.1
"wee-mag",53,11.6,11,38.3
"wee-mag",54,12.3,12,73.8
"wee-mag",55,12.3,12,68.3
"wee-mag",56,13.2,13,70
"wee-mag",57,12.4,12,63.4
"wee-mag",58,12.4,12,62.5
"wee-mag",59,14.4,14,58
"wee-mag",60,11.9,11,54.1
"wee-mag",61,16.9,16,41.8
"wee-mag",62,19.1,18,71.1
"wee-mag",63,20,19,77.5
"wee-mag",64,18,17,58.9
"wee-mag",65,19.1,18,104.4
"wee-mag",66,18.9,18,82.4
"wee-mag",67,20.1,20,77.8
"wee-mag",68,15.6,15,77.4
"wee-mag",69,20.9,20,44.5
"wee-mag",70,21.2,21,77.8
"wee-mag",71,19.2,19,104.7
"wee-mag",72,17.3,16,103
"wee-mag",73,18,17,102.9
"wee-mag",74,21.6,21,61.2
"wee-mag",75,19.7,19,86.5
"wee-mag",76,16.5,16,102.2
"wee-mag",77,18.9,18,112
"wee-mag",78,18.6,18,72.5
"wee-mag",79,21.1,20,77.6
"wee-mag",80,17.8,17,77.6
"tonge",1,94,93,59.2
"tonge",2,95.6,94,78.9
"tonge",3,108.8,106,28.3
"tonge",4,114.6,112,108.9
"tonge",5,93.2,92,149.8
"tonge",6,92.3,90,98.2
"tonge",7,95,95,118
"tonge",8,110.9,108,77.1
"tonge",9,73.8,73,107
"tonge",10,88.7,86,38.4
"tonge",11,112,112,56.6
"tonge",12,117.7,116,46.5
"tonge",13,105,105,78.8
"tonge",14,94.5,93,206.3
"tonge",15,97.8,95,105.7
"tonge",16,101.7,101,124.9
"tonge",17,123,123,40.1
"tonge",18,116.1,113,75.2
"tonge",19,128.6,128,79.9
"tonge",20,119.1,116,107.7
"tonge",21,173,171,314
"tonge",22,163.4,161,152
"tonge",23,149.5,148,86.8
"tonge",24,156.3,150,47.4
"tonge",25,177.8,174,146.8
"tonge",26,175.7,173,294.8
"tonge",27,155.3,149,159.2
"tonge",28,184.7,182,155.4
"tonge",29,190.7,189,90.7
"tonge",30,153.8,153,153.8
"tonge",31,178.1,175,178.1
"tonge",32,180.3,180,180.3
"tonge",33,157,157,157
"tonge",34,181.5,181,181.5
"tonge",35,154.9,152,153.9
"tonge",36,171.3,169,171.3
"tonge",37,167,167,167
"tonge",38,154.4,153,154.4
"tonge",39,186.1,183,186.1
"tonge",40,184.8,183,184.8
"tonge",41,29.8,29,152.2
"tonge",42,34.6,33,55.8
"tonge",43,33.6,33,59
"tonge",44,36,34,111.6
"tonge",45,32.7,31,116.5
"tonge",46,38.1,38,59.8
"tonge",47,33.2,32,27.2
"tonge",48,35.9,35,56.1
"tonge",49,34.9,34,74.1
"tonge",50,33.3,32,167.5
"tonge",51,39.7,38,111
"tonge",52,43,43,39.1
"tonge",53,39.3,36,76.5
"tonge",54,41.1,40,86.8
"tonge",55,40.3,40,67.7
"tonge",56,41,40,79.8
"tonge",57,42.9,42,88
"tonge",58,42.1,42,62.2
"tonge",59,37.1,37,55
"tonge",60,43.3,42,39
"tonge",61,65.7,63,182.6
"tonge",62,71.3,68,173.4
"tonge",63,70.6,69,156.4
"tonge",64,97,97,0.4
"tonge",65,67.6,65,67.4
"tonge",66,70.1,69,119.6
"tonge",67,53.5,52,165.3
"tonge",68,63.5,63,148.1
"tonge",69,55.5,55,64.3
"tonge",70,64.2,63,165.3
"tonge",71,57.3,57,100.5
"tonge",72,62.8,61,244.4
"tonge",73,72.9,72,198.5
"tonge",74,69.9,68,151.3
"tonge",75,70.4,69,176
"tonge",76,60,59,167.2
"tonge",77,64.1,62,125.2
"tonge",78,72.3,67,133.8
"tonge",79,68.5,66,135.2
"tonge",80,68,66,132.1
